id,name,year,code,url,slug,location,sgl_draw_url,sgl_pdf_url,indoor_outdoor,surface,series_id,series_category_id,start_dtm,finish_dtm,sgl_draw_qty,dbl_draw_qty,prize_money,prize_currency,country_code
1999-M-DC-1999-G2-EA-M-DEN-SEN-01,"Group II, Euro/African",1999,M-DC-1999-G2-EA-M-DEN-SEN-01,https://www.daviscup.com/en/draws-results/tie.aspx?id=M-DC-1999-G2-EA-M-DEN-SEN-01,,Aalborg,,,Indoor,Carpet,dc,dc,19990430,19990502,,,,,DEN
1999-M-DC-1999-G2-EA-M-HUN-GRE-01,"Group II, Euro/African",1999,M-DC-1999-G2-EA-M-HUN-GRE-01,https://www.daviscup.com/en/draws-results/tie.aspx?id=M-DC-1999-G2-EA-M-HUN-GRE-01,,Budapest,,,Outdoor,Clay,dc,dc,19990430,19990502,,,,,HUN
1999-M-DC-1999-G2-EA-M-LAT-POL-01,"Group II, Euro/African",1999,M-DC-1999-G2-EA-M-LAT-POL-01,https://www.daviscup.com/en/draws-results/tie.aspx?id=M-DC-1999-G2-EA-M-LAT-POL-01,,Jurmala,,,Indoor,Carpet,dc,dc,19990430,19990502,,,,,LAT
1999-M-DC-1999-G2-EA-M-MKD-CIV-01,"Group II, Euro/African",1999,M-DC-1999-G2-EA-M-MKD-CIV-01,https://www.daviscup.com/en/draws-results/tie.aspx?id=M-DC-1999-G2-EA-M-MKD-CIV-01,,Abidjan,,,Outdoor,Hard,dc,dc,19990430,19990502,,,,,CIV
1999-M-DC-1999-G2-EA-M-SLO-IRL-01,"Group II, Euro/African",1999,M-DC-1999-G2-EA-M-SLO-IRL-01,https://www.daviscup.com/en/draws-results/tie.aspx?id=M-DC-1999-G2-EA-M-SLO-IRL-01,,Dublin,,,Indoor,Carpet,dc,dc,19990430,19990502,,,,,IRL
1999-M-DC-1999-G2-EA-M-TOG-BUL-01,"Group II, Euro/African",1999,M-DC-1999-G2-EA-M-TOG-BUL-01,https://www.daviscup.com/en/draws-results/tie.aspx?id=M-DC-1999-G2-EA-M-TOG-BUL-01,,Plovdiv,,,Outdoor,Clay,dc,dc,19990430,19990502,,,,,BUL
1999-M-DC-1999-G2-EA-M-TUR-NOR-01,"Group II, Euro/African",1999,M-DC-1999-G2-EA-M-TUR-NOR-01,https://www.daviscup.com/en/draws-results/tie.aspx?id=M-DC-1999-G2-EA-M-TUR-NOR-01,,Oslo,,,Indoor,Carpet,dc,dc,19990430,19990502,,,,,NOR
1999-M-DC-1999-G2-EA-M-YUG-MAR-01,"Group II, Euro/African",1999,M-DC-1999-G2-EA-M-YUG-MAR-01,https://www.daviscup.com/en/draws-results/tie.aspx?id=M-DC-1999-G2-EA-M-YUG-MAR-01,,Casablanca,,,Outdoor,Clay,dc,dc,19990430,19990502,,,,,MAR
1999-M-DC-1999-G1-AMN-REL-ARG-VEN-01,"Group I, American, Relegation Play-off",1999,M-DC-1999-G1-AMN-REL-ARG-VEN-01,https://www.daviscup.com/en/draws-results/tie.aspx?id=M-DC-1999-G1-AMN-REL-ARG-VEN-01,,Caracas,,,Outdoor,Hard,dc,dc,19990716,19990718,,,,,VEN
1999-M-DC-1999-G1-AMN-REL-CAN-BAH-01,"Group I, American, Relegation Play-off",1999,M-DC-1999-G1-AMN-REL-CAN-BAH-01,https://www.daviscup.com/en/draws-results/tie.aspx?id=M-DC-1999-G1-AMN-REL-CAN-BAH-01,,Nassau,,,Outdoor,Hard,dc,dc,19990716,19990718,,,,,BAH
