id,name,year,code,url,slug,location,sgl_draw_url,sgl_pdf_url,indoor_outdoor,surface,series_id,start_dtm,finish_dtm,sgl_draw_qty,dbl_draw_qty,prize_money,prize_currency,country_code
1999-227,Ulm,1999,227,http://www.atpworldtour.com/en/scores/archive/ulm/227/1999/results,ulm,Ulm,http://www.atpworldtour.com/en/scores/archive/ulm/227/1999/draws,http://www.protennislive.com/posting/1999/227/mds.pdf,Outdoor,Clay,ch,19990628,,32,32,50000,$,GER
1999-469,Lugano,1999,469,http://www.atpworldtour.com/en/scores/archive/lugano/469/1999/results,lugano,Lugano,http://www.atpworldtour.com/en/scores/archive/lugano/469/1999/draws,http://www.protennislive.com/posting/1999/469/mds.pdf,Outdoor,Clay,ch,19990628,,32,32,25000,$,SUI
1999-688,Montauban,1999,688,http://www.atpworldtour.com/en/scores/archive/montauban/688/1999/results,montauban,Montauban,http://www.atpworldtour.com/en/scores/archive/montauban/688/1999/draws,http://www.protennislive.com/posting/1999/688/mds.pdf,Outdoor,Clay,ch,19990628,,32,32,25000,$,FRA
1999-758,Venice,1999,758,http://www.atpworldtour.com/en/scores/archive/venice/758/1999/results,venice,Venice,http://www.atpworldtour.com/en/scores/archive/venice/758/1999/draws,http://www.protennislive.com/posting/1999/758/mds.pdf,Outdoor,Clay,ch,19990628,,32,32,100000,$,ITA
1999-313,Bristol,1999,313,http://www.atpworldtour.com/en/scores/archive/bristol/313/1999/results,bristol,Bristol,http://www.atpworldtour.com/en/scores/archive/bristol/313/1999/draws,http://www.protennislive.com/posting/1999/313/mds.pdf,Outdoor,Grass,ch,19990705,,32,32,50000,$,GBR
1999-314,Gstaad,1999,314,http://www.atpworldtour.com/en/scores/archive/gstaad/314/1999/results,gstaad,Gstaad,http://www.atpworldtour.com/en/scores/archive/gstaad/314/1999/draws,http://www.protennislive.com/posting/1999/314/mds.pdf,Outdoor,Clay,atp,19990705,,32,32,550000,$,SUI
1999-315,Newport,1999,315,http://www.atpworldtour.com/en/scores/archive/newport/315/1999/results,newport,Newport,http://www.atpworldtour.com/en/scores/archive/newport/315/1999/draws,http://www.protennislive.com/posting/1999/315/mds.pdf,Outdoor,Grass,atp,19990705,,32,32,320000,$,USA
1999-316,Bastad,1999,316,http://www.atpworldtour.com/en/scores/archive/bastad/316/1999/results,bastad,Bastad,http://www.atpworldtour.com/en/scores/archive/bastad/316/1999/draws,http://www.protennislive.com/posting/1999/316/mds.pdf,Outdoor,Clay,atp,19990705,,32,32,350000,$,SWE
1999-685,Ostend,1999,685,http://www.atpworldtour.com/en/scores/archive/ostend/685/1999/results,ostend,Ostend,http://www.atpworldtour.com/en/scores/archive/ostend/685/1999/draws,http://www.protennislive.com/posting/1999/685/mds.pdf,Outdoor,Clay,ch,19990705,,32,32,125000,$,BEL
1999-833,Oberstaufen,1999,833,http://www.atpworldtour.com/en/scores/archive/oberstaufen/833/1999/results,oberstaufen,Oberstaufen,http://www.atpworldtour.com/en/scores/archive/oberstaufen/833/1999/draws,http://www.protennislive.com/posting/1999/833/mds.pdf,Outdoor,Clay,ch,19990705,,32,32,25000,$,GER
1999-877,Granby,1999,877,http://www.atpworldtour.com/en/scores/archive/granby/877/1999/results,granby,Granby,http://www.atpworldtour.com/en/scores/archive/granby/877/1999/draws,http://www.protennislive.com/posting/1999/877/mds.pdf,Outdoor,Hard,ch,19990705,,32,32,50000,$,CAN
1999-383,Graz,1999,383,http://www.atpworldtour.com/en/scores/archive/graz/383/1999/results,graz,Graz,http://www.atpworldtour.com/en/scores/archive/graz/383/1999/draws,http://www.protennislive.com/posting/1999/383/mds.pdf,Outdoor,Clay,ch,19990712,,32,32,100000,$,GER
1999-467,Aptos,1999,467,http://www.atpworldtour.com/en/scores/archive/aptos/467/1999/results,aptos,Aptos,http://www.atpworldtour.com/en/scores/archive/aptos/467/1999/draws,http://www.protennislive.com/posting/1999/467/mds.pdf,Outdoor,Hard,ch,19990712,,32,32,50000,$,USA
1999-583,Manchester,1999,583,http://www.atpworldtour.com/en/scores/archive/manchester/583/1999/results,manchester,Manchester,http://www.atpworldtour.com/en/scores/archive/manchester/583/1999/draws,http://www.protennislive.com/posting/1999/583/mds.pdf,Outdoor,Grass,ch,19990712,,32,32,50000,$,GBR
